1016,68,-632
784,60,-392
1032,60,-392
988,48,-248
936,100,-24
1160,40,64
980,-32,52
960,48,384
820,16,464
792,-48,428
736,8,596
968,4,664
708,124,812
572,124,632
604,124,888
440,220,1080
516,56,756
596,132,960
600,100,884
1140,172,1024
848,20,624
-244,40,688
912,112,840
684,48,500
952,76,256
1056,-8,368
1160,-8,468
932,-60,-32
1132,-100,-308
652,-40,-376
868,-168,-676
852,-232,-588
668,-240,-544
556,-244,-1028
664,-372,-708
60,-284,-1008
88,-380,-704
-4,-456,-732
-232,-424,-1244
-216,-404,-572
-548,-404,-696
-464,-448,-764
-348,-516,-700
-416,-532,-812
-340,-492,-1188
-336,-576,-732
-296,-528,-856
-264,-548,-948
-328,-548,-780
-200,-580,-872
-252,-524,-696
-188,-536,-928
-244,-480,-528
-100,-452,-1288
-116,-372,-904
136,-328,-848
444,-256,-1092
648,-244,-672
1048,-240,-620
848,-180,-236
1088,-116,-160
964,0,96
1140,64,428
972,24,308
836,200,812
700,116,612
648,100,780
656,28,728
524,8,852
656,-36,684
552,8,928
684,28,808
700,0,552
784,12,688
1056,-36,452
980,-16,592
1096,-148,-208
940,-108,-440
896,-172,-688
536,-228,-368
384,-260,-796
52,-136,-980
-24,-148,-1156
-408,-252,-908
-296,-264,-492
-1044,-20,-748
-736,-292,-432
-868,-136,-160
-1144,-92,-500
-756,-164,16
-1256,4,-288
-1140,-36,76
-964,-40,364
-1108,-24,144
-952,-28,488
-944,-40,396
-956,-8,420
-956,-44,384
-1008,-28,284
-1136,-44,-28
-1084,-16,72
-1048,-24,-160
-892,48,-132
-764,-80,-1180
-668,-32,-476
-356,-140,-1404
-268,-64,-908
-8,-88,-976
460,-136,-1236
312,-40,-776
624,-64,-792
816,-64,-864
908,-4,-312
896,-96,-676
1044,0,-144
952,16,-60
956,116,212
928,112,228
896,80,232
872,196,584
864,140,488
724,68,484
760,156,640
884,172,808
692,52,548
812,-12,504
616,84,696
788,128,736
804,88,668
800,108,632
880,152,568
1376,104,276
1048,192,356
1016,-32,-424
1196,52,-592
712,-120,-632
704,-108,-804
392,-220,-716
488,-212,-1032
296,-200,-836
60,-280,-1064
-104,-160,-968
-568,-192,-1112
-396,-224,-748
-752,-156,-940
-596,-200,-484
-960,-112,-716
-780,-148,-576
-1048,-84,-224
-1032,-116,-352
-1124,-40,-368
-1092,-96,-264
-936,-52,-64
-980,-64,-136
-1240,-56,60
-1124,-4,-48
-1056,-16,200
-908,20,224
-1076,32,152
-1084,20,180
-1088,-8,-204
-1144,-24,-308
-1076,12,-500
-840,-12,-520
-884,-156,-784
-1020,-144,-440
-324,-252,-680
-536,-204,-624
44,-220,-936
0,-144,-924
528,-72,-708
416,-132,-868
996,-60,-712
824,0,-316
1016,60,-200
1028,92,8
1044,136,184
1048,140,312
984,152,208
920,148,380
1056,164,344
916,88,36
1180,140,204
1064,56,-156
880,16,-512
1056,124,-596
780,-24,-964
388,-128,-692
-184,-184,-1036
-8,-184,-1048
-216,-216,-1080
-328,-188,-908
-440,-236,-780
-620,-156,-1052
-604,-212,-808
-496,-204,-376
-1300,-4,-656
-884,-120,-336
-1176,12,-284
-1016,-12,-224
-1220,60,52
-1224,92,-68
-1028,52,156
-972,112,68
-1124,48,60
-996,68,224
